Date,Crew_ID,Crew_Count,Hours_Worked,Units_Installed,Fatigue_Score,Superintendent_Notes,Safety_Incident,Rework_Cost,Sentiment_Score,Daily_Overtime,Rolling_Overtime_7d,Productivity_Rate,Risk_Event
2024-01-01,Concrete-1,8,8,102,0,"Great weather, slab pour went perfectly.",0,0,0.8519,0,0.0,1.59375,0
2024-01-02,Concrete-1,6,9,89,0,Routine install in Zone B.,0,0,0.0,1,1.0,1.6481481481481481,0
2024-01-03,Concrete-1,5,8,100,0,"Great weather, slab pour went perfectly.",0,0,0.8519,0,1.0,2.5,0
2024-01-04,Concrete-1,7,8,97,0,"Safety talk held this morning, no incidents.",0,0,0.1531,0,1.0,1.7321428571428572,0
2024-01-05,Concrete-1,8,9,103,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,1,2.0,1.4305555555555556,0
2024-01-06,Concrete-1,6,9,106,0,"Ahead of schedule, inspection passed.",0,0,0.0,1,3.0,1.962962962962963,0
2024-01-07,Concrete-1,6,14,48,2,"Rework needed on wall framing, incorrect specs.",0,0,0.0,6,9.0,0.5714285714285714,0
2024-01-08,Concrete-1,8,8,82,2,"Weather overcast, work continuing.",0,0,0.0,0,9.0,1.28125,0
2024-01-09,Concrete-1,8,8,106,1,"Productive day, finished Zone A early.",0,0,0.0,0,8.0,1.65625,0
2024-01-10,Concrete-1,8,8,96,1,"Standard progress, nothing to report.",0,0,0.4215,0,8.0,1.5,0
2024-01-11,Concrete-1,8,8,99,1,"Weather overcast, work continuing.",0,0,0.0,0,8.0,1.546875,0
2024-01-12,Concrete-1,8,13,52,3,"Crew exhausted from overtime, morale is low.",0,3692,-0.5574,5,12.0,0.5,1
2024-01-13,Concrete-1,7,9,109,2,"Productive day, finished Zone A early.",0,0,0.0,1,12.0,1.7301587301587302,0
2024-01-14,Concrete-1,8,10,91,2,"Safety talk held this morning, no incidents.",0,0,0.1531,2,8.0,1.1375,0
2024-01-15,Concrete-1,5,13,48,4,"Material delivery late, caused bottleneck.",0,1388,0.0,5,13.0,0.7384615384615385,1
2024-01-16,Concrete-1,7,8,109,3,"Productive day, finished Zone A early.",0,0,0.0,0,13.0,1.9464285714285714,0
2024-01-17,Concrete-1,7,8,103,2,"Productive day, finished Zone A early.",0,0,0.0,0,13.0,1.8392857142857142,0
2024-01-18,Concrete-1,8,9,118,1,"Crew moving fast, materials arrived on time.",0,0,0.0,1,14.0,1.6388888888888888,0
2024-01-19,Concrete-1,7,8,100,0,"Great weather, slab pour went perfectly.",0,0,0.8519,0,9.0,1.7857142857142858,0
2024-01-20,Concrete-1,5,8,106,0,"Great weather, slab pour went perfectly.",0,0,0.8519,0,8.0,2.65,0
2024-01-21,Concrete-1,8,10,83,0,"Weather overcast, work continuing.",0,0,0.0,2,8.0,1.0375,0
2024-01-22,Concrete-1,8,8,100,0,"Ahead of schedule, inspection passed.",0,0,0.0,0,3.0,1.5625,0
2024-01-23,Concrete-1,5,8,103,0,"Great weather, slab pour went perfectly.",0,0,0.8519,0,3.0,2.575,0
2024-01-24,Concrete-1,8,11,56,2,"Crew exhausted from overtime, morale is low.",0,0,-0.5574,3,6.0,0.6363636363636364,0
2024-01-25,Concrete-1,5,9,90,2,Routine install in Zone B.,0,0,0.0,1,6.0,2.0,0
2024-01-26,Concrete-1,8,8,97,2,"Weather overcast, work continuing.",0,0,0.0,0,6.0,1.515625,0
2024-01-27,Concrete-1,5,9,120,1,"Crew moving fast, materials arrived on time.",0,0,0.0,1,7.0,2.6666666666666665,0
2024-01-28,Concrete-1,7,8,119,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,5.0,2.125,0
2024-01-29,Concrete-1,7,8,105,0,"Productive day, finished Zone A early.",0,0,0.0,0,5.0,1.875,0
2024-01-30,Concrete-1,6,8,100,0,"Crew moving fast, materials arrived on time.",0,0,0.0,0,5.0,2.0833333333333335,0
2024-01-31,Concrete-1,8,8,100,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,2.0,1.5625,0
2024-02-01,Concrete-1,7,13,50,2,Argument with sub trade over laydown area.,0,0,-0.3612,5,6.0,0.5494505494505495,0
2024-02-02,Concrete-1,6,8,113,1,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,6.0,2.3541666666666665,0
2024-02-03,Concrete-1,8,9,106,0,"Great weather, slab pour went perfectly.",0,0,0.8519,1,6.0,1.4722222222222223,0
2024-02-04,Concrete-1,6,8,118,0,"Team is in good rhythm, no safety issues.",0,0,0.5423,0,6.0,2.4583333333333335,0
2024-02-05,Concrete-1,7,12,55,2,"Waiting on RFI response, crew standing around.",0,1824,0.0,4,10.0,0.6547619047619048,1
2024-02-06,Concrete-1,8,8,97,2,"Weather overcast, work continuing.",0,0,0.0,0,10.0,1.515625,0
2024-02-07,Concrete-1,6,9,104,1,"Crew moving fast, materials arrived on time.",0,0,0.0,1,11.0,1.9259259259259258,0
