Date,Crew_ID,Crew_Count,Hours_Worked,Units_Installed,Fatigue_Score,Superintendent_Notes,Safety_Incident,Rework_Cost
2024-01-01,Drywall-A,7,9,120,0,"Team is in good rhythm, no safety issues.",0,0
2024-01-02,Drywall-A,5,8,108,0,"Great weather, slab pour went perfectly.",0,0
2024-01-03,Drywall-A,7,9,100,0,Routine install in Zone B.,0,0
2024-01-04,Drywall-A,8,9,106,0,"Productive day, finished Zone A early.",0,0
2024-01-05,Drywall-A,8,9,100,0,"Productive day, finished Zone A early.",0,0
2024-01-06,Drywall-A,5,8,93,0,"Safety talk held this morning, no incidents.",0,0
2024-01-07,Drywall-A,7,9,106,0,"Productive day, finished Zone A early.",0,0
2024-01-08,Drywall-A,8,8,116,0,"Team is in good rhythm, no safety issues.",0,0
2024-01-09,Drywall-A,5,10,47,2,"Rain delay caused slip hazards, slowed down install.",1,0
2024-01-10,Drywall-A,5,9,114,1,"Team is in good rhythm, no safety issues.",0,0
2024-01-11,Drywall-A,6,10,81,1,"Weather overcast, work continuing.",0,0
2024-01-12,Drywall-A,6,14,50,3,"Rain delay caused slip hazards, slowed down install.",0,0
2024-01-13,Drywall-A,8,10,97,3,"Crew size normal, steady pace.",0,0
2024-01-14,Drywall-A,5,9,98,3,"Standard progress, nothing to report.",0,0
2024-01-15,Drywall-A,8,11,47,5,"Rework needed on wall framing, incorrect specs.",0,0
2024-01-16,Drywall-A,5,9,84,5,"Safety talk held this morning, no incidents.",0,0
2024-01-17,Drywall-A,6,9,109,4,"Crew moving fast, materials arrived on time.",0,0
2024-01-18,Drywall-A,8,9,105,3,"Team is in good rhythm, no safety issues.",0,0
2024-01-19,Drywall-A,5,8,110,2,"Great weather, slab pour went perfectly.",0,0
2024-01-20,Drywall-A,7,8,96,2,"Safety talk held this morning, no incidents.",0,0
2024-01-21,Drywall-A,8,8,100,2,"Weather overcast, work continuing.",0,0
2024-01-22,Drywall-A,8,13,42,4,Argument with sub trade over laydown area.,1,1599
2024-01-23,Drywall-A,6,11,57,6,"Rework needed on wall framing, incorrect specs.",0,0
2024-01-24,Drywall-A,6,14,69,8,"Rework needed on wall framing, incorrect specs.",1,1679
2024-01-25,Drywall-A,6,13,47,10,"Material delivery late, caused bottleneck.",1,0
2024-01-26,Drywall-A,8,9,84,10,"Standard progress, nothing to report.",0,0
2024-01-27,Drywall-A,8,9,101,9,"Ahead of schedule, inspection passed.",0,0
2024-01-28,Drywall-A,6,9,112,8,"Crew moving fast, materials arrived on time.",0,0
2024-01-29,Drywall-A,8,10,82,8,"Crew size normal, steady pace.",0,0
2024-01-30,Drywall-A,8,8,117,7,"Ahead of schedule, inspection passed.",0,0
2024-01-31,Drywall-A,5,9,112,6,"Team is in good rhythm, no safety issues.",0,0
2024-02-01,Drywall-A,8,8,99,6,"Crew size normal, steady pace.",0,0
2024-02-02,Drywall-A,6,8,89,6,"Safety talk held this morning, no incidents.",0,0
2024-02-03,Drywall-A,7,10,65,8,Argument with sub trade over laydown area.,0,0
2024-02-04,Drywall-A,7,8,102,7,"Great weather, slab pour went perfectly.",0,0
2024-02-05,Drywall-A,5,9,88,7,"Standard progress, nothing to report.",0,0
2024-02-06,Drywall-A,7,8,90,7,"Standard progress, nothing to report.",0,0
2024-02-07,Drywall-A,8,13,52,9,"Rework needed on wall framing, incorrect specs.",1,0
2024-02-08,Drywall-A,6,9,116,8,"Crew moving fast, materials arrived on time.",0,0
2024-02-09,Drywall-A,6,8,102,7,"Team is in good rhythm, no safety issues.",0,0
2024-02-10,Drywall-A,7,9,100,6,"Great weather, slab pour went perfectly.",0,0
